id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,Date,Age_Group,Flight_Distance_Group,Total_Delay,Delay_Group,satisfaction_numeric,Overall_Service_Score,Service_Score_Category
70172,Male,Loyal Customer,13,Personal Travel,Eco Plus,460,3,4,3.0,1,5,3,5,5,4,3.0,4.0,4,5,5,25,18.0,neutral or dissatisfied,2022-10-20,Teenagers,Короткий,43.0,"[30, 60)",0,3.857142857142857,Average (3-4)
5047,Male,Disloyal Customer,25,Business travel,Business,235,3,2,3.0,3,1,3,1,1,1,5.0,3.0,1,4,1,1,6.0,neutral or dissatisfied,2022-10-08,Adult,Ультракороткий,7.0,"[0, 30)",0,2.2857142857142856,Poor (2-3)
110028,Female,Loyal Customer,26,Business travel,Business,1142,2,2,2.0,2,5,5,5,5,4,3.0,4.0,4,4,5,0,0.0,satisfied,2022-10-11,Adult,Средний,0.0,"[0, 30)",1,3.7142857142857144,Average (3-4)
24026,Female,Loyal Customer,25,Business travel,Business,562,2,5,5.0,5,2,2,2,2,2,5.0,3.0,1,4,2,11,9.0,neutral or dissatisfied,2022-10-25,Adult,Короткий,20.0,"[0, 30)",0,3.0,Average (3-4)
119299,Male,Loyal Customer,61,Business travel,Business,214,3,3,3.0,3,4,5,5,3,3,4.0,4.0,3,3,3,0,0.0,satisfied,2022-10-23,Aged people,Ультракороткий,0.0,"[0, 30)",1,3.5,Average (3-4)
111157,Female,Loyal Customer,26,Personal Travel,Econom,1180,3,4,2.0,1,1,2,1,1,3,4.0,4.0,4,4,1,0,0.0,neutral or dissatisfied,2022-10-10,Adult,Средний,0.0,"[0, 30)",0,2.5,Poor (2-3)
82113,Male,Loyal Customer,47,Personal Travel,Econom,1276,2,4,2.0,3,2,2,2,2,3,3.0,4.0,3,5,2,9,23.0,neutral or dissatisfied,2022-10-07,Adult,Средний,32.0,"[30, 60)",0,2.7857142857142856,Poor (2-3)
96462,Female,Loyal Customer,52,Business travel,Business,2035,4,3,4.0,4,5,5,5,5,5,5.0,5.0,4,5,4,4,0.0,satisfied,2022-10-11,Adult,Длинный,4.0,"[0, 30)",1,4.5,Good (4-5)
79485,Female,Loyal Customer,41,Business travel,Business,853,1,2,2.0,2,4,3,3,1,1,2.0,1.0,4,1,2,0,0.0,neutral or dissatisfied,2022-10-28,Adult,Средний,0.0,"[0, 30)",0,2.0714285714285716,Poor (2-3)
65725,Male,Disloyal Customer,20,Business travel,Econom,1061,3,3,3.0,4,2,3,3,2,2,3.0,4.0,4,3,2,0,0.0,neutral or dissatisfied,2022-10-14,Adult,Средний,0.0,"[0, 30)",0,2.9285714285714284,Poor (2-3)
34991,Female,Disloyal Customer,24,Business travel,Econom,1182,4,5,5.0,4,2,5,2,2,3,3.0,5.0,3,5,2,0,0.0,neutral or dissatisfied,2022-10-20,Adult,Средний,0.0,"[0, 30)",0,3.5714285714285716,Average (3-4)
51412,Female,Loyal Customer,12,Personal Travel,Eco Plus,308,2,4,2.0,2,1,2,1,1,1,2.0,4.0,5,5,1,0,0.0,neutral or dissatisfied,2022-10-29,Child,Короткий,0.0,"[0, 30)",0,2.357142857142857,Poor (2-3)
98628,Male,Loyal Customer,53,Business travel,Econom,834,1,4,4.0,4,1,1,1,1,1,1.0,3.0,4,4,1,28,8.0,neutral or dissatisfied,2022-10-22,Adult,Средний,36.0,"[30, 60)",0,2.2142857142857144,Poor (2-3)
83502,Male,Loyal Customer,33,Personal Travel,Econom,946,4,2,4.0,3,4,4,4,4,4,5.0,2.0,2,2,4,0,0.0,satisfied,2022-10-22,Adult,Средний,0.0,"[0, 30)",1,3.4285714285714284,Average (3-4)
95789,Female,Loyal Customer,26,Personal Travel,Econom,453,3,2,3.0,2,2,3,2,2,4,3.0,2.0,2,1,2,43,35.0,neutral or dissatisfied,2022-10-17,Adult,Короткий,78.0,"[60, 90)",0,2.357142857142857,Poor (2-3)
100580,Male,Disloyal Customer,13,Business travel,Econom,486,2,1,2.0,3,4,2,1,4,2,1.0,4.0,1,3,4,1,0.0,neutral or dissatisfied,2022-10-17,Teenagers,Короткий,1.0,"[0, 30)",0,2.4285714285714284,Poor (2-3)
71142,Female,Loyal Customer,26,Business travel,Business,2123,3,3,3.0,3,4,4,4,4,5,3.0,4.0,5,4,4,49,51.0,satisfied,2022-10-02,Adult,Длинный,100.0,"[90, 120)",1,3.7857142857142856,Average (3-4)
127461,Male,Loyal Customer,41,Business travel,Business,2075,4,4,2.0,4,4,4,4,5,5,4.0,5.0,3,5,5,0,10.0,satisfied,2022-10-10,Adult,Длинный,10.0,"[0, 30)",1,4.142857142857143,Good (4-5)
70354,Female,Loyal Customer,45,Business travel,Business,2486,4,4,4.0,4,3,4,5,5,5,5.0,5.0,3,5,4,7,5.0,satisfied,2022-10-03,Adult,Длинный,12.0,"[0, 30)",1,4.285714285714286,Good (4-5)
66246,Male,Loyal Customer,38,Personal Travel,Econom,460,2,3,3.0,2,5,3,5,5,1,2.0,4.0,3,2,5,17,18.0,neutral or dissatisfied,2022-10-31,Adult,Короткий,35.0,"[30, 60)",0,3.2142857142857144,Average (3-4)
39076,Male,Loyal Customer,9,Business travel,Econom,1174,2,4,2.0,4,2,2,1,2,1,5.0,3.0,4,3,2,0,4.0,neutral or dissatisfied,2022-10-22,Child,Средний,4.0,"[0, 30)",0,2.642857142857143,Poor (2-3)
22434,Female,Loyal Customer,17,Personal Travel,Econom,208,3,1,3.0,3,5,3,5,5,2,5.0,3.0,3,4,5,0,0.0,neutral or dissatisfied,2022-10-24,Teenagers,Ультракороткий,0.0,"[0, 30)",0,3.5714285714285716,Average (3-4)
43510,Female,Loyal Customer,43,Personal Travel,Econom,752,3,5,3.0,5,5,4,5,3,3,3.0,5.0,3,3,4,52,29.0,neutral or dissatisfied,2022-10-10,Adult,Средний,81.0,"[60, 90)",0,3.857142857142857,Average (3-4)
114090,Female,Loyal Customer,58,Personal Travel,Econom,2139,4,5,4.0,5,4,3,4,4,4,4.0,4.0,2,4,2,0,0.0,neutral or dissatisfied,2022-10-02,Adult,Длинный,0.0,"[0, 30)",0,3.7857142857142856,Average (3-4)
